Gene_Name,Latent_Dim1_Corr,Latent_Dim2_Corr,Max_Absolute_Correlation
rna_ligase_family_protein,-0.7881385125328055,-0.7161925956123927,0.7881385125328055
rna_binding_protein,-0.7719929999750089,-0.5722284726855122,0.7719929999750089
methionine_gamma_lyase_family_protein,0.7719929999750089,0.572228472685512,0.7719929999750089
na_translocating_system_protein_mpsc_family_protein,0.6609855182755754,0.7477279771961102,0.7477279771961102
fpa_ylan_family_protein,0.5832004115567908,0.7377369502905916,0.7377369502905916
ylan_family_protein,-0.5832004115567908,-0.7377369502905916,0.7377369502905916
tigr01212_family_radical_sam_protein,-0.5832004115567908,-0.7377369502905916,0.7377369502905916
log_family_protein,0.7359521943283182,0.6391739340072546,0.7359521943283182
tigr00730_family_rossman_fold_protein,-0.7359521943283182,-0.6391739340072546,0.7359521943283182
sporulation_membrane_protein_ytri,0.5517166653907148,0.7348666170390057,0.7348666170390057
pts_mannitol_transporter_subunit_iibc,0.5517166653907148,0.7348666170390057,0.7348666170390057
radical_sam_family_protein,0.5517166653907148,0.7348666170390057,0.7348666170390057
magnetosome_magnetite_crystal_formation_protein_family,0.5517166653907148,0.7348666170390057,0.7348666170390057
nfed_family_membrane_protein,0.5517166653907148,0.7348666170390057,0.7348666170390057
23s_rrna_cytidine_2498_2_o_methyltransferase_rlmm,0.5517166653907148,0.7348666170390057,0.7348666170390057
